upc_code	product_name	weight	brand_name
1	Lettuce - California Mix	379	Douglas Group
2	Shrimp - Baby, Cold Water	72	White Group
3	Coffee - 10oz Cup 92961	293	Baumbach, Doyle and Gleichner
4	Sauce - Marinara	520	Mayer and Sons
5	Nougat - Paste / Cream	480	Ullrich LLC
6	Wild Boar - Tenderloin	927	Nicolas-Beer
7	Pasta - Gnocchi, Potato	631	Brakus-Bergstrom
8	Curry Powder Madras	347	Stracke and Sons
9	Veal - Insides, Grains	69	Daugherty-Veum
10	Ecolab - Solid Fusion	727	Sipes-Cummerata
11	Pea - Snow	514	Hagenes, Mraz and Jacobs
12	Creme De Cacao Mcguines	548	Nienow-Auer
13	Tomatoes - Orange	290	Frami Inc
14	Island Oasis - Magarita Mix	516	Dietrich LLC
15	Easy Off Oven Cleaner	353	Schinner, Wintheiser and Willms
16	Chevril	626	Ward Group
17	Pur Value	715	Lang, Marquardt and Hickle
18	Juice - Apple, 500 Ml	582	Schowalter-Wintheiser
19	Nut - Pecan, Halves	613	Parker, Heidenreich and Breitenberg
20	Pork - Liver	554	Hegmann-Reilly
21	Sauce - Rosee	153	Dickinson-Koss
22	Cake - Dulce De Leche	771	Miller and Sons
23	Milk - 2% 250 Ml	52	Goldner, Kessler and Schultz
24	Pan Grease	131	Lebsack-Eichmann
25	Sesame Seed	866	Fritsch-Ritchie
26	Graham Cracker Mix	658	Abernathy-Rowe
27	Tea - Herbal Orange Spice	61	Johnson-Klein
28	Spring Roll Veg Mini	677	Conn, Batz and Kuhn
29	Mushroom - Trumpet, Dry	17	O'Kon, Jenkins and Thompson
30	Flower - Carnations	112	Watsica, Bradtke and Emard
31	Chivas Regal - 12 Year Old	936	Torphy LLC
32	Broom Handle	561	Romaguera LLC
33	Calaloo	879	Goldner-Stark
34	Wine - Riesling Alsace Ac 2001	110	Cummerata-Greenholt
35	Cookies - Fortune	72	Smith, Nicolas and Kutch
36	Capers - Pickled	601	Mohr, Prohaska and Wuckert
37	Yogurt - Peach, 175 Gr	353	Towne, Wisozk and Hodkiewicz
