purchase_id	product_id	quantity
408	479	20
990	598	8
19	543	4
947	288	20
424	506	5
975	177	8
122	399	20
898	842	17
832	795	9
498	433	8
217	97	28
824	820	9
437	747	27
773	826	6
51	747	29
61	129	9
309	44	12
981	598	22
469	399	20
320	205	14
336	627	2
59	180	30
962	915	22
735	517	2
743	419	15
181	352	15
982	112	16
970	535	10
40	845	1
496	999	28
537	460	11
396	890	29
587	72	26
749	774	21
396	11	10
714	632	21
504	557	11
53	145	8
583	525	12
642	15	17
722	199	22
780	348	19
269	436	3
202	706	17
344	550	6
543	299	12
170	497	22
408	532	21
902	714	8
764	181	4
9	269	26
500	457	5
513	118	13
796	118	7
168	672	19
214	858	28
662	725	30
572	198	11
863	653	8
226	736	26
182	565	17
279	298	22
757	672	7
170	783	12
587	501	14
761	796	27
444	830	6
983	509	22
437	246	25
243	210	5
358	720	26
43	28	27
194	689	19
922	82	10
597	97	1
325	453	6
173	683	26
601	676	10
871	887	6
111	9	19
351	111	2
511	753	27
287	446	17
983	624	4
748	650	22
862	832	15
530	214	20
339	550	14
216	108	15
702	39	17
678	818	9
774	434	2
593	178	23
947	880	6
870	283	14
725	393	23
798	520	8
53	373	5
666	838	20
100	657	5
400	401	18
530	616	20
239	30	23
792	81	12
703	470	3
387	579	17
48	753	7
815	763	26
221	283	14
249	593	7
823	623	12
728	246	11
312	39	3
853	74	28
218	367	19
764	954	11
97	340	27
490	683	6
147	594	19
521	41	28
737	369	10
54	546	26
808	602	6
679	778	21
790	669	13
8	274	9
685	820	3
451	983	4
43	231	7
183	937	2
549	388	13
679	366	5
369	942	10
310	549	2
222	403	13
178	196	13
896	18	14
442	614	3
550	398	20
231	308	22
882	697	20
722	696	21
817	467	20
606	957	27
466	665	5
149	185	18
189	289	2
4	103	30
584	274	28
388	797	16
573	630	18
26	735	20
545	50	11
609	221	16
190	535	5
247	607	23
781	325	11
67	702	3
624	321	11
899	544	1
584	814	2
278	278	17
638	575	22
962	512	9
537	770	18
604	910	5
132	76	14
632	767	15
581	451	22
524	101	26
28	908	26
904	485	29
344	256	5
852	70	4
536	50	3
626	494	30
849	27	24
794	514	17
546	463	23
185	266	6
707	222	8
158	322	9
852	980	17
271	301	19
149	588	30
106	170	10
354	426	3
300	812	1
63	325	15
267	234	16
814	646	28
266	392	14
866	774	18
270	915	30
639	147	14
801	731	10
493	62	12
413	784	21
100	816	7
163	401	7
123	434	23
224	981	24
87	902	22
569	937	2
209	555	25
422	587	18
929	6	23
699	898	5
513	90	30
477	219	13
88	564	19
896	368	15
3	931	12
955	781	12
329	354	20
683	608	2
137	142	20
781	454	4
596	471	7
133	828	10
211	838	4
739	1000	15
123	368	26
20	629	21
562	324	22
268	991	7
844	85	13
574	511	14
723	777	9
778	334	11
101	637	3
640	194	11
894	390	8
477	155	8
704	829	10
326	547	9
691	78	21
435	755	17
107	749	12
3	67	26
317	246	15
84	816	6
984	235	1
835	448	27
237	839	7
260	71	14
892	996	3
169	841	16
917	918	22
554	718	17
274	736	22
267	769	26
509	308	24
212	342	1
252	879	24
370	614	12
397	315	26
807	551	19
439	431	5
71	629	29
48	620	18
891	246	4
492	916	26
198	82	26
18	814	13
48	607	2
38	670	6
846	471	10
181	338	24
8	736	7
619	635	10
2	870	25
863	895	18
346	909	15
722	549	9
44	267	19
884	209	8
278	988	19
917	70	3
901	806	15
623	670	21
892	487	21
906	265	12
261	243	18
904	958	26
62	607	22
821	13	7
890	465	18
345	788	25
234	328	17
618	822	8
523	246	20
75	644	25
246	597	19
773	911	26
688	900	13
897	120	8
