shipment_id	store_id	vendor_id
1	803	984
2	752	421
3	877	75
4	704	902
5	55	834
6	869	65
7	450	512
8	784	166
9	713	730
10	75	593
11	191	669
12	913	385
13	638	193
14	694	819
15	315	407
16	578	364
17	105	667
18	678	650
19	932	110
20	121	136
21	851	320
22	563	534
23	401	558
24	231	195
25	268	72
26	945	285
27	267	477
28	669	832
29	832	315
30	171	707
31	784	620
32	648	169
33	448	552
34	860	810
35	548	121
36	591	304
37	590	974
38	736	549
39	712	308
40	64	181
41	119	120
42	426	706
43	31	481
44	466	699
45	318	430
46	487	671
47	927	146
48	517	668
49	782	813
50	223	912
51	554	240
52	350	990
53	292	232
54	585	108
55	537	682
56	648	187
57	144	112
58	811	561
59	56	891
60	51	413
61	617	398
62	22	964
63	802	479
64	459	465
65	310	962
66	579	461
67	641	805
68	766	24
69	150	210
70	576	604
71	935	754
72	562	123
73	242	3
74	285	81
75	901	423
76	122	183
77	464	8
78	111	314
79	117	260
80	770	139
81	835	204
82	204	887
83	967	210
84	507	947
85	796	916
86	391	551
87	73	676
88	654	778
89	806	227
90	6	180
91	150	201
92	891	716
93	69	832
94	353	274
95	219	104
96	619	239
97	554	375
98	647	970
99	463	550
100	755	756
101	169	397
102	695	158
103	59	249
104	952	206
105	569	676
106	493	381
107	828	632
108	634	526
109	287	831
110	786	884
111	997	66
112	415	382
113	352	334
114	659	792
115	799	598
116	826	915
117	539	368
118	762	68
119	131	457
120	221	222
121	101	297
122	169	330
123	253	960
124	613	472
125	832	65
126	867	259
127	348	386
128	764	226
129	849	884
130	355	602
131	138	105
132	618	79
133	668	94
134	400	198
135	39	312
136	726	87
137	842	605
138	957	26
139	955	419
140	947	343
141	283	389
142	478	988
143	435	199
144	270	640
145	677	141
146	453	802
147	970	768
148	680	70
149	869	645
150	648	70
151	162	837
152	940	993
153	976	834
154	563	980
155	27	621
156	301	932
157	138	304
158	540	824
159	68	479
160	483	33
161	293	394
162	626	376
163	964	366
164	520	414
165	308	613
166	63	35
167	619	309
168	369	128
169	118	514
170	977	212
171	300	655
172	777	572
173	792	98
174	874	837
175	228	855
176	697	598
177	736	451
178	173	97
179	201	955
180	41	21
181	120	560
182	827	435
183	466	160
184	344	180
185	369	768
186	997	139
187	345	5
188	663	303
189	174	617
190	138	301
191	440	845
192	594	146
193	127	875
194	229	874
195	584	743
196	512	522
197	303	355
198	934	541
199	357	960
200	33	886
201	813	872
202	652	345
203	213	75
204	481	448
205	108	745
206	882	190
207	778	137
208	408	840
209	281	643
210	247	254
211	936	919
212	435	800
213	570	271
214	358	654
215	589	810
216	798	585
217	869	231
218	652	874
219	550	438
220	672	30
221	495	599
222	230	620
223	10	947
224	563	105
225	635	932
226	999	155
227	87	245
228	953	702
229	838	575
230	367	649
231	840	821
232	240	185
233	382	358
234	629	97
235	377	292
236	282	310
237	849	580
238	801	631
239	777	775
240	263	367
241	475	240
242	417	515
243	69	237
244	971	289
245	958	323
246	986	113
247	767	195
248	407	617
249	49	835
250	51	979
251	165	192
252	762	122
253	193	185
254	533	599
255	613	70
256	665	227
257	155	877
258	109	225
259	121	668
260	575	764
261	571	492
262	417	435
263	607	788
264	802	550
265	416	864
266	566	217
267	716	107
268	992	218
269	984	249
270	78	673
271	610	97
272	969	422
273	261	788
274	184	171
275	756	497
276	957	764
277	986	585
278	461	688
279	529	668
280	496	208
281	471	908
282	586	397
283	420	456
284	829	794
285	160	698
286	715	642
287	284	175
288	248	549
289	340	372
290	545	724
291	218	705
292	493	479
293	866	720
294	812	812
295	778	358
296	713	739
297	651	366
298	839	566
299	836	6
300	354	928
301	78	975
302	985	31
303	995	963
304	237	612
305	285	604
306	911	296
307	814	311
308	43	750
309	312	135
310	431	335
311	45	844
312	4	658
313	689	596
314	611	966
315	109	395
316	38	545
317	246	711
318	968	418
319	626	209
