shipment_id	product_id	quantity
1	383	568
2	933	715
3	973	66
4	467	312
5	635	448
6	114	486
7	849	216
8	129	477
9	904	880
10	474	826
11	419	339
12	570	660
13	506	294
14	641	323
15	135	232
16	216	895
17	779	476
18	998	488
19	336	189
20	41	987
21	265	195
22	44	776
23	203	67
24	763	605
25	440	319
26	222	32
27	608	790
28	399	227
29	431	485
30	476	156
31	136	794
32	890	48
33	379	534
34	438	784
35	919	814
36	305	573
37	737	359
38	362	70
39	789	129
40	514	268
41	442	432
42	252	130
43	574	310
44	131	924
45	928	85
46	655	164
47	592	746
48	108	838
49	320	105
50	748	424
51	560	465
52	707	672
53	453	615
54	204	349
55	74	704
56	711	294
57	356	590
58	619	255
59	904	835
60	687	431
61	60	89
62	293	109
63	331	961
64	423	20
65	482	329
66	214	778
67	648	937
68	572	731
69	262	173
70	215	340
71	367	440
72	849	329
73	821	368
74	665	282
75	720	196
76	714	618
77	93	590
78	191	966
79	169	402
80	782	187
81	131	921
82	220	814
83	638	707
84	2	982
85	375	762
86	278	187
87	478	385
88	98	464
89	628	508
90	359	476
91	383	810
92	305	562
93	966	875
94	289	770
95	31	653
96	200	491
97	67	477
98	404	938
99	242	344
100	484	172
101	486	276
102	205	17
103	762	213
104	26	939
105	424	229
106	164	660
107	482	823
108	349	15
109	758	679
110	733	633
111	956	546
112	624	820
113	463	421
114	220	69
115	567	562
116	798	906
117	820	536
118	723	597
119	519	26
120	944	229
121	30	490
122	316	25
123	371	282
124	949	417
125	316	948
126	137	197
127	777	302
128	12	707
129	598	693
130	449	265
131	938	615
132	776	270
133	70	617
134	357	944
135	854	786
136	2	742
137	2	891
138	827	462
139	932	386
140	94	990
141	49	663
142	822	827
143	787	840
144	738	860
145	227	592
146	282	350
147	692	798
148	927	564
149	874	735
150	281	472
151	967	640
152	147	947
153	226	587
154	873	254
155	103	423
156	936	368
157	432	988
158	212	690
159	749	386
160	472	774
161	321	867
162	555	514
163	758	849
164	303	604
165	546	167
166	15	455
167	691	593
168	257	430
169	592	764
170	652	343
171	845	834
172	928	50
173	957	36
174	138	608
175	135	792
176	723	797
177	772	338
178	907	257
179	332	550
180	590	600
181	593	138
182	718	212
183	902	689
184	894	407
185	336	491
186	39	995
187	839	357
188	204	413
189	120	624
190	313	274
191	734	886
192	643	904
193	688	720
194	248	89
195	76	440
196	258	279
197	234	24
198	650	996
199	293	282
200	494	971
201	212	939
202	771	599
203	655	59
204	898	75
205	980	775
206	990	809
207	7	967
208	601	165
209	479	78
210	398	145
211	670	435
212	67	678
213	45	775
214	737	361
215	490	227
216	209	521
217	482	636
218	531	156
219	942	436
220	569	795
221	299	792
222	469	360
223	67	899
224	857	445
