store_id	store_name	addr_line1	addr_city	addr_state	addr_zipcode
1	Coastal Plain False Foxglove	9630 Golf Road	Dayton	Ohio	45426
2	Arizona Pencil Cholla	73150 Mesta Center	Lawrenceville	Georgia	30245
3	Bog Dubautia	60968 Fremont Street	Toledo	Ohio	43666
4	Hypnum Moss	7112 Chinook Plaza	Beaverton	Oregon	97075
5	Cardinal Catchfly	339 Morning Road	Columbia	South Carolina	29208
6	Disc Lichen	5465 Dottie Hill	Saint Louis	Missouri	63126
7	Douglas' Clover	2 Hallows Place	Round Rock	Texas	78682
8	Desert Madwort	8 Cottonwood Trail	Kalamazoo	Michigan	49048
9	Slimspike Prairie Clover	83 Kim Parkway	New Orleans	Louisiana	70142
10	Scrub Balm	402 Corben Pass	Tyler	Texas	75799
11	Egyptian Marjoram	12785 Carey Hill	New York City	New York	10131
12	Wattapama	7 Schlimgen Terrace	New York City	New York	10160
13	Gilia Beardtongue	39308 Fair Oaks Park	Saginaw	Michigan	48604
14	Alkali Yellowtops	3 Melby Avenue	Laurel	Maryland	20709
15	Jame's Rubberweed	6809 Continental Crossing	Tucson	Arizona	85737
16	Indian Knob Mountainbalm	3994 Golf Parkway	Phoenix	Arizona	85005
17	Lathberry	4900 Hermina Pass	Winston Salem	North Carolina	27105
18	Black Nicker	017 South Road	Austin	Texas	78737
19	West Indian Starwort	59 Garrison Trail	Milwaukee	Wisconsin	53277
20	Turbina	703 Mitchell Circle	Jacksonville	Florida	32259
21	Maricao Lidflower	00 Nova Center	Bronx	New York	10474
22	Rhinoceros Cactus	53 Lakeland Court	Washington	District of Columbia	20520
23	Seacliff Beggarticks	90 Rieder Alley	Miami	Florida	33175
24	Narrowleaf Goldenaster	955 Vahlen Plaza	Albany	New York	12232
25	Canadian Sandspurry	6533 Rowland Avenue	Anchorage	Alaska	99512
26	Singlewhorl Burrobrush	4 Haas Center	Los Angeles	California	90005
27	Modoc Buckthorn	98520 Graceland Parkway	San Diego	California	92160
28	Parish's Flatsedge	59 Welch Trail	El Paso	Texas	88535
29	Truckee Lecidea Lichen	4 Cottonwood Court	Lynchburg	Virginia	24515
30	Lesser Butter And Eggs	7 Lawn Lane	Toledo	Ohio	43635
31	Eopyrenula Lichen	9 2nd Drive	Honolulu	Hawaii	96820
32	Rubber Rabbitbrush	6215 Oak Valley Street	Peoria	Illinois	61629
33	Red Bayberry	737 Summerview Avenue	Seattle	Washington	98185
34	Cymophyllus	2974 Alpine Crossing	Los Angeles	California	90045
35	Yellow Butterfly Palm	28 Holy Cross Trail	Austin	Texas	78744
36	Mojave Desertparsley	5 Ridge Oak Parkway	New Orleans	Louisiana	70165
37	Hawai'ian Cotton	8532 Hallows Terrace	Madison	Wisconsin	53790
38	Florida Yellow Flax	3010 Macpherson Plaza	New York City	New York	10029
39	Dot Lichen	61 Barnett Lane	Little Rock	Arkansas	72215
40	Hybrid Oak	83 Kings Way	Pinellas Park	Florida	34665
41	Woodson's Milkvine	58 Lien Place	Jacksonville	Florida	32244
42	Utah Phacelia	431 Autumn Leaf Circle	Denver	Colorado	80204
43	Silk-floss Tree	738 Lawn Parkway	Galveston	Texas	77554
44	Philippine Pigeonwings	4 Sage Circle	Phoenix	Arizona	85062
45	Diplotomma Lichen	1910 Sutteridge Way	Washington	District of Columbia	20503
46	Woman's Tobacco	66551 Grayhawk Terrace	Shawnee Mission	Kansas	66220
47	Mountain Avens	6 Corry Lane	Hartford	Connecticut	06140
48	Castle Lake Bedstraw	214 Morrow Drive	Dayton	Ohio	45470
49	Dotted Bristle Fern	2 Oneill Hill	Shawnee Mission	Kansas	66210
50	Wildrye	29467 Walton Avenue	Columbus	Ohio	43215
51	Field Restharrow	6079 Karstens Drive	Metairie	Louisiana	70005
52	Wolf's Trisetum	8615 Crest Line Avenue	Aurora	Illinois	60505
53	Bachang	6 Reinke Point	Norfolk	Virginia	23514
54	Woodrush	43830 Glendale Parkway	Topeka	Kansas	66622
55	Vernalpool Brodiaea	5 Texas Lane	Charleston	South Carolina	29424
56	Hawai'i Stingingnettle	986 Graceland Junction	Amarillo	Texas	79171
57	Lithographa Lichen	0435 Bowman Avenue	Lancaster	California	93584
58	Cup Lichen	29 Chinook Pass	Albuquerque	New Mexico	87140
59	Hulten's Alkaligrass	95 Farragut Center	Santa Fe	New Mexico	87505
60	Robin Runaway	3644 Longview Junction	Spokane	Washington	99210
61	Alabama Milkvine	019 Manley Road	Rochester	New York	14609
62	Nodding Beaksedge	8 Coolidge Lane	Clearwater	Florida	33758
63	Peregrine Thistle	26 Derek Pass	Seattle	Washington	98195
64	Long-hair Silverscale	67 Monument Drive	Boca Raton	Florida	33499
65	Giant Reed	84 Kensington Alley	Jacksonville	Florida	32277
66	Engelmann's Hedgehog Cactus	7892 Hagan Circle	Spokane	Washington	99210
67	San Francisco Woodland-star	1236 Garrison Road	Kansas City	Missouri	64136
68	Pygmy Fleabane	937 Anhalt Plaza	Pittsburgh	Pennsylvania	15235
69	Bloodtwig Dogwood	4336 Knutson Way	Fairfield	Connecticut	06825
70	Miniature Lupine	006 Monterey Lane	Tulsa	Oklahoma	74193
71	Lowland Beardtongue	5 Forest Dale Terrace	Aurora	Colorado	80015
72	Parry's Knotweed	914 Stone Corner Trail	Billings	Montana	59112
73	Smoothflower Lousewort	1 Evergreen Road	Tacoma	Washington	98447
74	Shortleaf Drepanocladus Moss	905 Thierer Park	Oceanside	California	92056
75	Candle Snuffer Moss	36 Morningstar Parkway	Killeen	Texas	76544
76	Northern Sanicle	262 Basil Center	Raleigh	North Carolina	27610
77	Wartycabbage	01 Moulton Alley	Memphis	Tennessee	38150
78	Low Spearwort	9 Vera Park	Austin	Texas	78721
79	Swallen's Lovegrass	765 North Parkway	Johnstown	Pennsylvania	15906
80	Plantain Signalgrass	878 Dunning Plaza	Jamaica	New York	11499
81	Sintenis' Peperomia	1370 Fallview Crossing	Rochester	New York	14639
82	Herissantia	53 Portage Pass	Austin	Texas	78744
83	Gattinger's Panicgrass	65107 Hayes Place	Las Vegas	Nevada	89130
84	Arctic Brodoa Lichen	3 Hauk Road	Philadelphia	Pennsylvania	19120
85	Brouard's Rinodina Lichen	54668 Nobel Center	Topeka	Kansas	66622
86	Balsam Fir	4 Eliot Plaza	Houston	Texas	77293
87	Railhead Milkvetch	952 Calypso Road	Charlotte	North Carolina	28263
88	White Princesplume	980 Montana Junction	Raleigh	North Carolina	27605
89	Birch	4 Grover Circle	Fayetteville	North Carolina	28305
90	Melicoccus	4494 Ramsey Lane	Miami	Florida	33142
91	Rockface Yellow Loosestrife	30 Crescent Oaks Plaza	San Diego	California	92186
92	Siskiyou False Hellebore	94606 Chinook Alley	Tulsa	Oklahoma	74193
93	Downy Desert-thorn	07 Lakeland Terrace	Saint Petersburg	Florida	33742
94	Sadleria	953 Nelson Terrace	Gaithersburg	Maryland	20883
95	Small-leaf Climbing Fern	4 Roxbury Terrace	Lake Worth	Florida	33462
96	Goutweed	2 Nelson Street	Lincoln	Nebraska	68517
97	Spiked Crested Coralroot	923 Main Drive	Fargo	North Dakota	58122
98	Smallflower Miterwort	672 2nd Plaza	Levittown	Pennsylvania	19058
