store_id	product_id	unit_price	quantity
175	996	297	69
436	467	307	334
547	490	233	955
306	518	173	647
173	881	947	569
838	634	163	825
317	610	815	304
122	962	516	75
826	453	210	842
649	716	305	566
914	11	49	564
453	372	983	736
307	828	707	56
511	907	670	457
273	366	707	196
354	580	439	858
158	911	280	492
607	666	981	992
562	280	222	603
951	688	925	579
134	896	50	462
140	273	298	315
129	907	805	856
842	728	564	930
602	862	389	606
464	453	597	160
369	790	448	286
522	604	596	890
150	788	991	243
54	196	188	484
772	701	793	804
29	131	839	308
705	283	378	735
483	9	529	464
786	475	901	712
142	22	431	141
406	142	704	51
472	31	549	674
830	996	504	490
959	557	769	915
178	442	799	465
176	768	302	273
261	258	662	231
330	346	519	892
266	938	590	615
483	775	15	975
530	443	973	462
259	526	773	798
807	148	613	679
644	882	551	83
976	847	976	912
488	235	33	19
310	355	680	641
459	600	335	709
803	492	562	734
384	311	329	246
631	325	340	350
582	641	380	420
428	599	916	586
258	777	858	721
748	786	854	294
172	613	239	203
391	982	988	827
771	871	927	334
429	192	410	773
632	53	846	777
138	733	107	687
353	97	246	569
678	396	992	856
419	313	514	882
939	855	847	154
236	338	775	654
757	497	306	620
254	437	20	685
262	405	142	494
435	169	77	682
691	236	497	690
79	855	198	144
823	358	714	279
811	909	803	119
89	891	681	575
913	831	793	104
80	91	190	461
31	306	962	866
943	57	778	694
788	82	239	682
876	284	845	962
157	701	718	853
809	122	271	238
251	199	16	483
960	502	123	688
475	222	164	577
532	322	586	916
748	505	646	78
249	211	44	351
652	267	560	710
470	538	638	559
442	949	211	760
701	97	538	755
900	612	745	331
683	355	574	800
748	862	594	910
699	653	689	738
10	190	526	579
47	848	549	316
772	932	712	617
688	925	674	447
963	530	931	813
877	64	301	495
756	922	522	626
157	115	868	815
734	241	314	53
516	179	94	211
332	70	707	29
393	765	500	656
380	257	781	268
524	711	947	378
868	247	318	135
373	469	962	39
770	866	215	563
900	142	298	559
980	782	696	121
677	825	771	715
386	27	256	803
821	197	59	252
795	310	364	361
844	10	484	595
445	317	18	753
30	417	746	574
741	627	473	142
342	645	552	911
482	104	466	744
906	681	548	295
848	178	289	972
195	132	686	177
621	441	98	826
186	996	80	533
928	912	594	85
70	630	75	801
649	907	669	882
547	70	685	924
804	681	308	570
231	325	257	677
4	860	546	566
31	712	212	184
248	167	232	95
666	44	106	990
43	901	79	52
276	670	210	436
320	297	653	984
3	487	978	374
946	806	701	624
584	947	291	11
973	327	873	595
375	86	938	586
335	871	652	312
612	212	1	69
910	457	452	518
120	761	355	738
27	981	831	927
88	646	809	769
173	345	523	989
358	126	7	327
899	469	751	428
330	158	729	774
104	673	747	149
881	85	351	313
806	631	234	259
184	449	655	914
352	806	196	298
622	45	755	285
958	209	96	275
324	403	279	544
164	325	219	72
903	37	336	142
735	2	676	478
745	19	93	570
920	60	831	803
205	331	652	880
905	804	93	245
439	681	604	379
22	241	103	555
64	273	975	499
290	85	908	817
601	895	347	895
212	784	789	953
530	37	508	711
827	622	633	764
218	291	887	700
973	105	741	294
315	472	678	273
331	220	621	363
88	754	852	938
695	142	522	886
814	152	667	608
212	161	237	488
294	812	57	336
312	713	660	217
110	379	992	25
621	893	214	782
280	203	151	492
898	308	14	158
379	292	427	83
427	757	206	439
229	189	994	395
306	806	975	178
717	463	27	154
944	216	565	156
115	770	135	647
79	292	965	517
966	886	720	96
706	657	501	691
254	470	107	335
396	252	61	484
604	879	398	286
231	455	251	715
3	853	396	933
428	11	233	437
254	445	784	586
891	844	911	887
771	806	738	213
177	453	248	450
315	280	370	70
985	977	510	109
860	116	959	203
271	730	784	332
609	220	972	331
