vendor_id	product_id	unit_price
933	152	292
157	721	186
790	624	588
5	273	879
449	82	588
829	874	301
799	738	933
807	280	795
841	708	452
195	826	455
396	91	658
241	984	185
640	948	882
633	290	126
348	768	427
605	495	750
14	5	711
483	983	490
37	763	683
151	980	822
799	608	282
524	488	47
169	745	720
63	424	936
193	225	608
950	347	210
189	249	890
555	212	935
902	679	548
217	138	445
219	547	919
684	765	52
741	43	64
710	698	164
896	414	663
853	782	622
810	869	931
596	352	956
708	512	533
567	227	999
239	92	403
783	876	745
432	181	14
10	450	541
843	326	69
623	178	929
305	828	697
367	836	818
753	137	438
538	141	826
470	197	521
898	620	729
621	229	197
944	51	604
237	42	825
113	75	390
894	608	516
534	672	540
780	826	451
398	464	757
349	822	663
774	407	566
940	473	642
819	253	536
596	63	496
171	182	904
28	873	264
868	289	683
459	405	575
252	4	86
324	133	840
879	792	316
867	714	899
212	395	133
457	503	449
313	85	912
775	887	102
318	92	213
651	609	598
91	494	448
922	485	850
768	126	642
592	841	549
229	738	945
328	365	989
263	37	434
231	338	666
140	975	148
953	701	927
971	470	977
682	911	564
697	420	292
36	455	102
187	720	983
267	500	78
901	974	357
375	539	95
84	341	719
758	188	477
52	937	176
711	619	754
418	479	333
33	265	259
819	523	846
219	436	212
971	578	927
21	617	188
809	157	210
868	818	823
723	383	791
387	786	576
900	224	899
743	646	558
37	584	71
378	526	888
963	36	953
914	437	57
293	473	581
341	150	842
855	387	818
323	886	763
213	240	133
676	123	164
918	510	27
28	206	304
715	554	709
727	973	586
811	618	957
188	954	289
216	512	427
445	932	305
639	720	707
537	484	760
863	145	833
597	317	252
824	530	821
500	563	674
253	347	888
623	147	170
952	296	659
418	618	9
888	497	926
446	617	415
129	146	574
875	759	152
2	554	570
835	417	981
485	410	973
284	800	560
973	758	939
784	202	35
304	784	242
442	107	505
678	598	826
337	705	103
689	867	859
314	117	576
675	465	778
92	452	388
94	659	626
917	60	923
879	845	451
162	361	946
866	903	112
116	374	485
302	980	18
70	505	884
377	615	477
229	110	786
358	993	326
397	293	938
223	472	187
889	453	424
633	116	10
44	700	6
617	405	793
921	395	751
606	45	551
218	677	131
515	511	206
110	534	922
173	330	237
367	220	8
704	528	541
397	452	643
72	144	831
986	152	890
954	923	820
995	715	479
670	416	55
618	644	995
99	331	112
251	270	551
286	452	767
911	465	359
730	265	187
659	311	933
334	988	893
247	216	948
819	858	425
62	66	973
937	784	486
666	541	111
280	152	152
186	714	174
37	394	631
519	532	60
629	381	932
882	861	1
143	48	327
328	852	61
574	731	649
671	191	176
332	655	629
62	139	270
521	751	598
123	310	763
520	97	629
321	618	422
100	701	855
728	902	195
546	771	450
676	335	555
832	398	395
209	855	890
182	790	528
427	664	629
195	872	462
26	870	121
761	282	496
252	630	577
362	405	237
406	800	717
259	120	638
641	115	27
879	359	815
780	971	488
761	892	971
698	696	878
629	544	384
474	605	707
880	906	613
975	860	481
258	964	26
123	125	535
298	590	506
233	187	595
264	74	972
411	374	28
851	189	293
724	659	663
657	948	608
206	584	38
680	713	310
479	372	618
765	998	325
914	611	981
51	693	198
994	349	744
34	86	310
748	190	607
654	30	880
531	765	923
457	850	381
289	656	348
563	339	409
370	807	925
985	996	916
709	180	466
395	262	551
736	816	681
542	8	755
510	915	164
35	425	920
827	743	691
370	500	722
3	167	317
94	615	237
193	184	855
486	315	73
762	797	517
725	266	197
115	543	169
840	382	895
444	118	907
277	411	977
627	553	603
695	563	204
443	862	635
248	952	523
326	953	650
868	808	906
508	968	252
910	156	879
903	941	803
399	901	143
529	191	672
88	819	84
414	101	835
971	269	591
831	958	781
523	742	977
595	655	654
542	338	316
178	424	162
667	786	590
686	503	555
28	533	405
712	143	836
734	998	66
311	554	415
457	700	744
362	374	827
841	354	92
105	702	802
511	495	689
698	292	160
474	713	737
554	888	368
326	685	248
994	881	936
5	823	554
920	617	484
437	355	897
555	921	128
699	915	606
893	582	148
895	172	60
32	969	574
708	129	281
117	521	797
807	790	392
16	991	38
12	922	240
514	857	620
932	361	312
672	858	245
466	909	841
823	824	939
286	515	113
849	997	968
416	839	116
606	184	238
159	435	968
119	614	990
330	78	443
145	311	662
729	697	551
186	903	454
307	956	893
104	216	179
689	136	872
466	320	572
152	603	24
851	420	799
259	159	858
265	930	648
434	979	426
305	488	837
189	642	975
959	95	545
705	43	124
380	661	707
359	440	209
495	770	751
331	937	290
650	670	431
682	679	212
202	447	235
225	788	375
973	369	703
298	490	435
454	415	908
460	973	425
630	512	101
247	550	327
897	971	256
194	693	355
965	307	357
886	988	618
36	293	115
700	910	202
715	998	616
840	83	993
146	847	382
117	614	325
548	563	362
928	834	887
146	643	48
930	114	215
809	269	568
518	688	202
450	448	728
599	366	252
361	994	120
177	262	359
982	526	645
772	670	239
475	942	308
938	443	60
802	461	268
463	696	843
835	762	258
729	401	110
537	744	832
810	478	418
542	238	400
200	144	537
887	162	733
950	165	691
144	460	9
352	530	638
48	551	634
256	228	766
921	732	797
842	695	541
8	319	680
130	365	120
801	860	840
743	999	572
170	403	678
591	739	653
827	859	807
721	315	496
687	791	361
146	557	638
268	848	565
420	247	372
587	169	425
338	796	622
779	990	38
559	11	79
656	257	814
8	769	369
423	235	482
741	542	615
98	198	502
906	185	553
869	493	42
755	882	943
557	643	559
525	449	979
648	968	578
299	941	201
97	546	466
310	111	872
808	965	52
454	423	460
716	917	843
37	103	734
546	602	401
142	802	135
156	357	280
650	210	885
215	385	490
312	980	830
566	193	760
815	111	772
628	20	844
566	372	720
863	827	249
901	740	807
400	865	54
790	247	557
506	91	41
187	429	40
993	333	207
57	268	899
326	863	181
197	60	500
286	884	654
171	455	757
199	391	121
298	596	109
589	719	881
240	866	926
974	389	915
57	928	959
157	380	690
412	457	52
61	588	221
509	688	611
414	754	198
902	202	566
234	193	958
250	59	61
363	620	469
174	544	335
619	759	459
977	395	81
526	314	706
793	45	717
292	352	419
33	7	520
78	643	106
864	876	671
705	348	76
671	717	386
445	961	11
671	187	776
219	207	241
756	261	418
964	723	888
766	865	624
16	442	595
798	835	555
824	2	342
797	80	416
456	851	368
756	72	606
896	25	827
471	219	54
368	459	368
520	709	311
367	133	361
885	502	663
868	598	835
678	149	237
970	662	121
57	529	99
395	527	375
11	717	493
877	684	625
973	544	130
269	594	113
540	876	664
982	949	92
634	418	495
562	726	563
547	723	339
458	706	954
367	123	911
448	852	662
400	575	81
512	620	535
819	167	347
282	10	422
119	619	870
289	134	154
763	690	291
798	175	53
875	844	148
392	141	373
247	270	277
11	530	266
903	678	648
146	38	79
328	487	979
509	560	659
534	743	609
711	541	829
830	879	803
283	565	447
740	993	758
357	757	881
670	884	893
776	160	874
